league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
IPL,2,155,2,28,5,4.67,2,1,13,8.3,36.1,5,87,10
MLC,2,178,1,50,2,8.33,6,1,19,19.4,52.8,8,156,8
BBL,2,153,2,72,1,12.0,7,3,18,27.8,50.0,9,235,4
LPL,1,165,1,36,4,6.0,4,1,18,13.9,50.0,6,72,6
LPL,1,169,2,46,3,7.67,4,2,16,16.7,44.4,7,118,5
T20 World Cup,0,181,1,49,2,8.17,4,2,18,16.7,50.0,8,124,7
T20 World Cup,1,168,2,44,1,7.33,5,0,22,13.9,61.1,9,124,7
Super Smash,0,148,1,17,4,2.83,1,0,18,2.8,50.0,6,42,9
T20I,2,144,2,40,2,6.67,3,0,17,8.3,47.2,8,128,4
IPL,2,152,1,62,0,10.33,7,2,22,25.0,61.1,10,223,2
T20 World Cup,0,176,2,37,3,6.17,3,1,17,11.1,47.2,7,86,6
SA20,2,178,1,20,5,3.33,2,0,19,5.6,52.8,5,59,7
BBL,0,152,2,34,3,5.67,2,2,14,11.1,38.9,7,89,5
CPL,1,175,1,32,3,5.33,3,1,15,11.1,41.7,7,82,6
Super Smash,0,158,2,45,2,7.5,4,0,18,11.1,50.0,8,113,7
T20 World Cup,1,145,1,60,0,10.0,7,3,21,27.8,58.3,10,200,5
T20 Blast,1,155,2,54,1,9.0,4,0,22,11.1,61.1,9,144,6
IPL,1,150,1,59,2,9.83,6,2,22,22.2,61.1,8,187,6
CPL,1,174,2,36,4,6.0,3,1,14,11.1,38.9,6,104,9
BPL,2,152,1,39,3,6.5,3,0,21,8.3,58.3,7,112,9
T20 Blast,2,161,2,50,3,8.33,5,3,20,22.2,55.6,7,134,5
Super Smash,0,171,1,43,1,7.17,3,0,19,8.3,52.8,9,98,4
PSL,1,181,2,62,1,10.33,8,0,20,22.2,55.6,9,197,7
LPL,1,156,1,60,2,10.0,7,3,18,27.8,50.0,8,163,5
T20I,1,162,2,48,3,8.0,5,0,19,13.9,52.8,7,129,5
BPL,1,144,1,27,5,4.5,3,1,8,11.1,22.2,5,69,8
SA20,2,160,2,60,2,10.0,5,1,22,16.7,61.1,8,168,6
MLC,2,147,1,50,2,8.33,4,1,22,13.9,61.1,8,140,7
BPL,2,163,2,50,2,8.33,7,3,14,27.8,38.9,8,144,6
Super Smash,1,156,1,25,5,4.17,3,0,8,8.3,22.2,5,47,10
BPL,1,154,2,18,6,3.0,1,1,21,5.6,58.3,4,47,10
Super Smash,2,175,1,46,3,7.67,5,0,21,13.9,58.3,7,142,8
BBL,1,157,2,59,1,9.83,6,2,20,22.2,55.6,9,193,7
BPL,1,164,1,37,3,6.17,3,0,12,8.3,33.3,7,107,9
T20 Blast,1,171,2,54,0,9.0,6,2,20,22.2,55.6,10,154,3
SA20,1,162,1,52,2,8.67,6,1,15,19.4,41.7,8,158,5
ILT20,0,180,2,51,2,8.5,6,0,16,16.7,44.4,8,152,6
ILT20,2,140,1,55,0,9.17,5,3,21,22.2,58.3,10,193,5
MLC,0,152,2,23,5,3.83,1,1,9,5.6,25.0,5,38,10
MLC,0,177,1,53,1,8.83,4,0,22,11.1,61.1,9,148,5
PSL,2,140,2,67,0,11.17,7,2,19,25.0,52.8,10,212,4
Super Smash,1,181,1,28,5,4.67,4,0,17,11.1,47.2,5,51,10
ILT20,1,154,2,51,3,8.5,6,2,21,22.2,58.3,7,156,8
Super Smash,1,140,1,58,1,9.67,5,0,20,13.9,55.6,9,164,3
Super Smash,1,161,2,41,3,6.83,4,0,14,11.1,38.9,7,114,8
PSL,0,176,1,50,0,8.33,5,3,19,22.2,52.8,10,149,4
BBL,1,167,2,53,1,8.83,4,3,16,19.4,44.4,9,164,7
SA20,0,153,1,43,3,7.17,6,0,19,16.7,52.8,7,104,5
SA20,1,158,2,56,1,9.33,8,0,18,22.2,50.0,9,184,7
T20I,2,141,1,41,2,6.83,3,2,20,13.9,55.6,8,128,8
MLC,2,157,2,53,2,8.83,5,1,14,16.7,38.9,8,177,4
CPL,1,162,1,46,1,7.67,4,1,21,13.9,58.3,9,133,5
IPL,2,138,2,69,1,11.5,9,4,16,36.1,44.4,9,247,7
CPL,1,155,1,42,3,7.0,5,0,16,13.9,44.4,7,119,5
T20 World Cup,1,162,2,48,1,8.0,4,1,22,13.9,61.1,9,130,4
LPL,0,166,1,39,2,6.5,4,0,20,11.1,55.6,8,111,8
T20 World Cup,1,140,2,47,1,7.83,4,2,20,16.7,55.6,9,128,7
CPL,1,156,1,50,2,8.33,7,2,16,25.0,44.4,8,145,6
LPL,2,176,2,46,2,7.67,5,0,22,13.9,61.1,8,135,8
PSL,0,159,1,27,5,4.5,3,1,20,11.1,55.6,5,61,10
Super Smash,1,171,2,45,3,7.5,5,0,18,13.9,50.0,7,122,8
CPL,2,151,1,22,6,3.67,3,0,19,8.3,52.8,4,56,8
MLC,2,162,2,37,2,6.17,5,0,19,13.9,52.8,8,129,6
BPL,1,167,1,38,3,6.33,3,2,19,13.9,52.8,7,99,6
T20 Blast,0,142,2,29,2,4.83,4,1,18,13.9,50.0,8,69,5
CPL,1,165,1,24,6,4.0,3,0,22,8.3,61.1,4,62,9
Super Smash,2,149,2,49,2,8.17,6,1,15,19.4,41.7,8,143,5
PSL,2,178,1,61,2,10.17,6,0,21,16.7,58.3,8,174,7
CPL,1,139,2,54,1,9.0,7,2,17,25.0,47.2,9,147,7
PSL,0,153,1,28,3,4.67,2,0,16,5.6,44.4,7,58,5
SA20,0,172,2,36,3,6.0,3,2,14,13.9,38.9,7,86,6
T20I,1,139,1,44,4,7.33,6,0,14,16.7,38.9,6,100,6
T20I,1,170,2,50,3,8.33,5,3,16,22.2,44.4,7,137,8
T20 World Cup,0,166,1,39,4,6.5,4,1,14,13.9,38.9,6,111,8
SA20,1,174,2,38,3,6.33,5,0,20,13.9,55.6,7,106,9
BPL,1,179,1,52,2,8.67,4,3,14,19.4,38.9,8,144,5
ILT20,0,181,2,61,0,10.17,5,2,20,19.4,55.6,10,177,5
T20I,0,169,1,59,1,9.83,5,0,21,13.9,58.3,9,165,6
Super Smash,1,146,2,52,1,8.67,6,0,17,16.7,47.2,9,152,3
SA20,1,178,1,43,3,7.17,6,2,12,22.2,33.3,7,129,7
T20 World Cup,2,156,2,58,2,9.67,5,2,14,19.4,38.9,8,167,4
SA20,1,146,1,47,2,7.83,3,1,17,11.1,47.2,8,125,7
BBL,1,145,2,62,1,10.33,8,1,16,25.0,44.4,9,186,6
MLC,2,146,1,56,3,9.33,5,0,13,13.9,36.1,7,162,9
IPL,1,153,2,65,2,10.83,8,3,14,30.6,38.9,8,216,4
PSL,1,166,1,24,5,4.0,3,1,10,11.1,27.8,5,75,10
IPL,1,157,2,46,3,7.67,4,2,14,16.7,38.9,7,134,5
ILT20,0,146,1,26,5,4.33,2,0,13,5.6,36.1,5,68,10
IPL,1,170,2,35,5,5.83,2,2,14,11.1,38.9,5,94,8
T20 World Cup,1,157,1,68,0,11.33,7,3,22,27.8,61.1,10,216,2
T20 World Cup,2,161,2,58,1,9.67,6,0,16,16.7,44.4,9,190,3
T20 World Cup,1,142,1,60,1,10.0,6,0,18,16.7,50.0,9,181,7
ILT20,2,144,2,38,2,6.33,4,1,19,13.9,52.8,8,107,4
T20 Blast,1,147,1,40,3,6.67,5,0,13,13.9,36.1,7,112,7
T20 World Cup,0,181,2,51,0,8.5,5,1,22,16.7,61.1,10,142,3
SA20,1,178,1,35,4,5.83,4,1,18,13.9,50.0,6,92,9
LPL,2,167,2,50,1,8.33,5,3,18,22.2,50.0,9,168,4
CPL,0,151,1,50,0,8.33,7,0,21,19.4,58.3,10,145,4
ILT20,2,165,2,50,4,8.33,4,0,16,11.1,44.4,6,152,8
BBL,1,164,1,51,1,8.5,4,1,21,13.9,58.3,9,171,4
BBL,1,181,2,50,1,8.33,5,0,20,13.9,55.6,9,144,5
SA20,2,148,1,46,2,7.67,3,0,21,8.3,58.3,8,146,8
PSL,2,146,2,39,5,6.5,5,1,15,16.7,41.7,5,101,10
T20 Blast,0,153,1,31,4,5.17,3,0,12,8.3,33.3,6,55,9
T20I,0,138,2,30,5,5.0,2,1,14,8.3,38.9,5,64,9
MLC,1,150,1,10,6,1.67,1,1,8,5.6,22.2,4,25,10
Super Smash,2,140,2,39,2,6.5,3,1,16,11.1,44.4,8,117,8
MLC,0,152,1,39,3,6.5,3,2,14,13.9,38.9,7,82,6
SA20,1,145,2,37,5,6.17,4,1,21,13.9,58.3,5,91,7
MLC,0,176,1,51,1,8.5,6,2,18,22.2,50.0,9,142,7
IPL,1,143,2,19,6,3.17,1,1,18,5.6,50.0,4,63,10
MLC,1,154,1,42,2,7.0,5,2,18,19.4,50.0,8,113,8
IPL,0,150,2,58,2,9.67,6,1,19,19.4,52.8,8,174,7
MLC,1,138,1,41,3,6.83,5,2,12,19.4,33.3,7,119,7
ILT20,2,158,2,59,2,9.83,5,3,18,22.2,50.0,8,188,8
BPL,2,162,1,49,0,8.17,6,1,19,19.4,52.8,10,159,5
BPL,0,169,2,42,1,7.0,4,1,22,13.9,61.1,9,115,4
PSL,0,174,1,34,3,5.67,3,1,15,11.1,41.7,7,83,6
BBL,0,165,2,50,0,8.33,5,2,21,19.4,58.3,10,141,5
T20 World Cup,1,151,1,43,2,7.17,6,1,15,19.4,41.7,8,114,4
BPL,0,167,2,39,1,6.5,4,0,17,11.1,47.2,9,102,5
PSL,2,173,1,39,4,6.5,3,1,20,11.1,55.6,6,94,7
T20 Blast,2,141,2,44,2,7.33,6,2,15,22.2,41.7,8,130,6
BBL,2,153,1,63,1,10.5,8,3,21,30.6,58.3,9,204,6
T20 Blast,0,170,2,42,2,7.0,4,1,15,13.9,41.7,8,95,4
Super Smash,0,168,1,47,1,7.83,4,1,20,13.9,55.6,9,112,7
MLC,2,176,2,41,2,6.83,3,1,19,11.1,52.8,8,126,8
Super Smash,1,163,1,52,3,8.67,7,3,17,27.8,47.2,7,139,6
T20I,1,163,2,48,2,8.0,6,0,19,16.7,52.8,8,138,4
PSL,2,177,1,54,2,9.0,4,2,18,16.7,50.0,8,178,8
BBL,0,143,2,26,4,4.33,3,0,14,8.3,38.9,6,77,10
T20 Blast,0,140,1,37,3,6.17,3,1,20,11.1,55.6,7,72,9
T20 Blast,0,140,2,35,3,5.83,5,1,15,16.7,41.7,7,74,9
T20 World Cup,0,142,1,51,1,8.5,4,3,16,19.4,44.4,9,132,3
T20I,0,171,2,57,0,9.5,7,3,22,27.8,61.1,10,161,6
T20 Blast,2,166,1,50,2,8.33,5,1,15,16.7,41.7,8,138,5
PSL,1,167,2,35,4,5.83,3,2,21,13.9,58.3,6,99,9
IPL,2,178,1,48,2,8.0,4,2,21,16.7,58.3,8,163,7
CPL,2,167,2,53,0,8.83,7,3,20,27.8,55.6,10,174,6
SA20,2,139,1,51,2,8.5,5,3,15,22.2,41.7,8,180,4
BBL,0,144,2,34,2,5.67,2,0,20,5.6,55.6,8,96,4
CPL,1,170,1,16,5,2.67,2,0,22,5.6,61.1,5,31,8
T20 World Cup,2,153,2,51,3,8.5,4,3,21,19.4,58.3,7,150,6
CPL,0,147,1,54,0,9.0,6,2,19,22.2,52.8,10,154,5
CPL,0,181,2,8,6,1.33,0,1,14,2.8,38.9,4,23,9
T20 Blast,1,176,1,25,4,4.17,3,0,19,8.3,52.8,6,57,10
CPL,2,143,2,52,1,8.67,4,2,20,16.7,55.6,9,161,5
ILT20,2,167,1,55,2,9.17,7,2,20,25.0,55.6,8,174,7
T20 World Cup,2,160,2,48,3,8.0,6,3,16,25.0,44.4,7,138,5
T20 Blast,0,160,1,41,1,6.83,4,2,19,16.7,52.8,9,105,5
SA20,2,151,2,70,1,11.67,6,2,19,22.2,52.8,9,215,6
ILT20,2,169,1,67,1,11.17,7,0,19,19.4,52.8,9,233,6
CPL,1,161,2,46,4,7.67,6,0,20,16.7,55.6,6,121,7
T20 World Cup,2,162,1,42,1,7.0,6,1,22,19.4,61.1,9,136,5
SA20,2,154,2,54,2,9.0,6,2,15,22.2,41.7,8,168,6
T20I,1,179,1,32,1,5.33,4,2,20,16.7,55.6,9,83,7
PSL,0,139,2,45,1,7.5,5,2,21,19.4,58.3,9,123,5
BPL,1,162,1,73,1,12.17,8,0,18,22.2,50.0,9,194,6
Super Smash,0,167,2,32,2,5.33,3,2,15,13.9,41.7,8,90,4
MLC,0,166,1,34,1,5.67,3,0,16,8.3,44.4,9,74,3
MLC,0,164,2,55,1,9.17,7,1,17,22.2,47.2,9,151,4
ILT20,1,172,1,20,5,3.33,1,0,13,2.8,36.1,5,56,8
T20I,1,175,2,62,1,10.33,8,2,18,27.8,50.0,9,179,5
ILT20,1,139,1,21,3,3.5,1,1,16,5.6,44.4,7,55,7
BBL,1,174,2,61,0,10.17,8,3,22,30.6,61.1,10,198,4
MLC,1,165,1,46,3,7.67,6,0,19,16.7,52.8,7,148,9
MLC,1,161,2,54,1,9.0,6,2,20,22.2,55.6,9,157,6
T20 Blast,0,176,1,37,2,6.17,5,0,15,13.9,41.7,8,94,7
CPL,2,162,2,64,1,10.67,8,4,20,33.3,55.6,9,191,7
PSL,1,181,1,57,1,9.5,6,0,16,16.7,44.4,9,174,4
IPL,0,148,2,46,2,7.67,6,2,16,22.2,44.4,8,144,7
T20 Blast,2,144,1,29,4,4.83,3,0,12,8.3,33.3,6,66,6
ILT20,1,154,2,49,3,8.17,4,1,17,13.9,47.2,7,137,7
ILT20,0,156,1,43,3,7.17,3,0,16,8.3,44.4,7,99,8
LPL,0,138,2,34,1,5.67,2,0,22,5.6,61.1,9,112,6
IPL,0,172,1,46,1,7.67,5,2,18,19.4,50.0,9,132,4
T20I,1,161,2,28,6,4.67,4,0,17,11.1,47.2,4,56,10
T20 Blast,0,145,1,36,3,6.0,3,1,14,11.1,38.9,7,90,9
T20 World Cup,1,167,2,52,2,8.67,5,1,18,16.7,50.0,8,159,8
T20 World Cup,1,142,1,37,3,6.17,4,2,22,16.7,61.1,7,102,7
T20I,2,163,2,47,4,7.83,4,2,16,16.7,44.4,6,135,8
ILT20,1,140,1,48,2,8.0,6,3,17,25.0,47.2,8,162,7
BPL,1,171,2,42,3,7.0,3,1,17,11.1,47.2,7,121,5
Super Smash,1,144,1,44,4,7.33,5,2,16,19.4,44.4,6,107,10
T20I,0,143,2,39,4,6.5,3,2,20,13.9,55.6,6,111,6
MLC,0,178,1,53,1,8.83,4,1,17,13.9,47.2,9,139,3
LPL,1,181,2,35,4,5.83,2,0,19,5.6,52.8,6,94,7
BPL,0,157,1,47,0,7.83,6,2,21,22.2,58.3,10,124,4
T20 Blast,0,155,2,43,1,7.17,4,1,21,13.9,58.3,9,115,5
IPL,0,175,1,55,1,9.17,5,0,22,13.9,61.1,9,171,3
SA20,2,173,2,41,4,6.83,5,1,13,16.7,36.1,6,114,6
T20 Blast,1,152,1,26,4,4.33,3,0,10,8.3,27.8,6,63,7
CPL,1,178,2,57,0,9.5,4,0,18,11.1,50.0,10,171,6
T20I,1,165,1,41,2,6.83,3,2,14,13.9,38.9,8,121,4
PSL,0,163,2,38,1,6.33,5,2,19,19.4,52.8,9,114,5
LPL,1,153,1,36,3,6.0,3,0,12,8.3,33.3,7,77,8
BBL,0,180,2,42,2,7.0,3,1,14,11.1,38.9,8,115,7
ILT20,2,162,1,48,1,8.0,4,3,21,19.4,58.3,9,143,5
SA20,0,181,2,63,1,10.5,9,2,20,30.6,55.6,9,174,3
ILT20,1,149,1,34,5,5.67,2,2,15,11.1,41.7,5,89,8
ILT20,2,175,2,59,0,9.83,6,1,18,19.4,50.0,10,186,5
Super Smash,1,140,1,44,2,7.33,6,1,14,19.4,38.9,8,125,4
CPL,1,166,2,43,3,7.17,4,0,21,11.1,58.3,7,124,6
T20 World Cup,1,146,1,46,1,7.67,5,0,21,13.9,58.3,9,152,3
ILT20,2,166,2,48,3,8.0,5,3,20,22.2,55.6,7,149,6
T20 Blast,1,170,1,28,4,4.67,2,0,22,5.6,61.1,6,73,7
BBL,1,142,2,56,2,9.33,5,0,16,13.9,44.4,8,160,8
IPL,2,162,1,64,2,10.67,6,4,21,27.8,58.3,8,200,7
T20I,1,158,2,53,2,8.83,6,3,17,25.0,47.2,8,155,6
T20 Blast,1,156,1,30,2,5.0,3,1,19,11.1,52.8,8,93,5
Super Smash,0,156,2,44,0,7.33,4,2,21,16.7,58.3,10,109,5
PSL,0,170,1,38,3,6.33,5,1,20,16.7,55.6,7,102,8
BBL,2,143,2,55,1,9.17,7,0,16,19.4,44.4,9,173,5
MLC,1,144,1,62,2,10.33,5,2,17,19.4,47.2,8,182,6
ILT20,1,146,2,48,1,8.0,5,1,16,16.7,44.4,9,145,4
PSL,1,175,1,61,0,10.17,8,0,19,22.2,52.8,10,197,2
CPL,1,168,2,45,1,7.5,4,1,22,13.9,61.1,9,139,4
IPL,1,144,1,36,2,6.0,5,1,15,16.7,41.7,8,135,5
ILT20,1,157,2,23,4,3.83,3,1,20,11.1,55.6,6,53,7
PSL,1,141,1,54,2,9.0,4,3,18,19.4,50.0,8,159,6
IPL,1,145,2,61,0,10.17,5,0,20,13.9,55.6,10,222,2
T20 World Cup,1,180,1,42,3,7.0,3,2,14,13.9,38.9,7,111,6
CPL,2,153,2,31,5,5.17,4,1,20,13.9,55.6,5,92,7
T20I,0,148,1,32,4,5.33,3,0,15,8.3,41.7,6,81,9
CPL,0,174,2,39,1,6.5,4,0,17,11.1,47.2,9,120,3
IPL,1,147,1,46,3,7.67,3,0,16,8.3,44.4,7,150,8
T20 World Cup,1,166,2,46,3,7.67,4,2,19,16.7,52.8,7,128,6
BPL,1,141,1,41,4,6.83,5,1,12,16.7,33.3,6,85,10
CPL,1,177,2,54,3,9.0,7,3,22,27.8,61.1,7,145,9
PSL,2,173,1,35,4,5.83,5,0,15,13.9,41.7,6,109,10
Super Smash,1,159,2,41,2,6.83,4,2,21,16.7,58.3,8,110,4
BPL,0,175,1,30,2,5.0,4,0,16,11.1,44.4,8,83,8
LPL,0,144,2,38,3,6.33,3,1,15,11.1,41.7,7,97,8
T20 World Cup,2,164,1,55,1,9.17,6,3,17,25.0,47.2,9,154,3
CPL,0,146,2,44,4,7.33,4,1,10,13.9,27.8,6,106,7
PSL,2,180,1,33,2,5.5,4,2,21,16.7,58.3,8,107,5
MLC,1,152,2,60,1,10.0,7,3,22,27.8,61.1,9,178,7
CPL,0,157,1,46,1,7.67,6,2,18,22.2,50.0,9,119,6
T20 World Cup,1,178,2,49,3,8.17,7,1,21,22.2,58.3,7,126,7
BPL,1,179,1,57,2,9.5,6,1,15,19.4,41.7,8,155,7
BPL,1,143,2,45,4,7.5,5,1,13,16.7,36.1,6,108,7
PSL,2,168,1,34,4,5.67,2,2,14,11.1,38.9,6,96,9
T20 World Cup,1,146,2,48,2,8.0,4,1,21,13.9,58.3,8,132,6
PSL,1,176,1,43,3,7.17,5,0,14,13.9,38.9,7,117,9
PSL,1,143,2,17,6,2.83,1,0,15,2.8,41.7,4,49,10
BBL,2,143,1,46,3,7.67,4,2,17,16.7,47.2,7,127,5
MLC,1,173,2,61,1,10.17,5,0,16,13.9,44.4,9,191,5
PSL,0,169,1,21,5,3.5,2,1,9,8.3,25.0,5,50,8
BPL,1,171,2,53,2,8.83,6,2,22,22.2,61.1,8,154,4
CPL,2,146,1,30,4,5.0,2,0,18,5.6,50.0,6,85,8
BPL,0,172,2,46,1,7.67,4,0,17,11.1,47.2,9,128,4
Super Smash,2,144,1,50,2,8.33,5,0,19,13.9,52.8,8,169,8
T20 World Cup,1,155,2,54,2,9.0,7,3,16,27.8,44.4,8,136,6
T20I,1,178,1,42,4,7.0,6,0,10,16.7,27.8,6,101,6
ILT20,1,158,2,45,3,7.5,3,0,12,8.3,33.3,7,143,6
BPL,2,150,1,35,3,5.83,4,1,13,13.9,36.1,7,97,8
PSL,0,169,2,59,1,9.83,5,2,20,19.4,55.6,9,150,4
BPL,1,175,1,40,1,6.67,4,2,21,16.7,58.3,9,111,7
IPL,1,164,2,28,6,4.67,3,0,6,8.3,16.7,4,79,8
SA20,1,156,1,69,1,11.5,8,3,16,30.6,44.4,9,204,5
T20 Blast,1,170,2,18,6,3.0,2,0,6,5.6,16.7,4,43,10
SA20,0,181,1,46,1,7.67,4,2,20,16.7,55.6,9,140,3
PSL,0,138,2,32,2,5.33,2,1,16,8.3,44.4,8,87,6
IPL,0,152,1,43,3,7.17,6,2,14,22.2,38.9,7,126,5
SA20,1,140,2,52,3,8.67,7,3,12,27.8,33.3,7,154,5
BBL,1,171,1,50,1,8.33,6,2,22,22.2,61.1,9,171,6
CPL,1,151,2,34,5,5.67,3,0,21,8.3,58.3,5,94,8
PSL,1,181,1,47,2,7.83,3,1,16,11.1,44.4,8,133,4
BPL,1,181,2,34,3,5.67,3,1,17,11.1,47.2,7,109,5
Super Smash,1,163,1,41,2,6.83,3,2,15,13.9,41.7,8,118,5
T20I,1,160,2,51,1,8.5,7,0,16,19.4,44.4,9,143,5
Super Smash,1,150,1,45,4,7.5,3,2,22,13.9,61.1,6,117,6
PSL,1,154,2,40,4,6.67,4,2,18,16.7,50.0,6,105,7
ILT20,1,153,1,48,1,8.0,5,1,22,16.7,61.1,9,141,6
T20I,1,160,2,42,3,7.0,4,2,12,16.7,33.3,7,115,7
SA20,0,164,1,57,2,9.5,8,3,17,30.6,47.2,8,149,8
CPL,2,174,2,53,3,8.83,4,0,15,11.1,41.7,7,148,7
MLC,1,138,1,10,5,1.67,0,1,18,2.8,50.0,5,38,8
BPL,1,157,2,44,4,7.33,6,0,15,16.7,41.7,6,113,6
MLC,0,138,1,50,1,8.33,5,0,21,13.9,58.3,9,143,6
MLC,1,176,2,57,1,9.5,5,0,19,13.9,52.8,9,168,6
BPL,1,160,1,62,1,10.33,7,0,18,19.4,50.0,9,191,5
Super Smash,1,148,2,48,1,8.0,5,1,17,16.7,47.2,9,130,3
T20 World Cup,1,138,1,34,4,5.67,3,1,14,11.1,38.9,6,99,7
T20 World Cup,1,167,2,58,0,9.67,7,2,19,25.0,52.8,10,181,5
ILT20,2,143,1,51,3,8.5,4,1,19,13.9,52.8,7,143,5
MLC,1,147,2,48,2,8.0,4,0,14,11.1,38.9,8,134,4
Super Smash,2,178,1,45,2,7.5,5,2,19,19.4,52.8,8,122,7
SA20,1,160,2,45,2,7.5,6,2,18,22.2,50.0,8,129,7
BPL,1,152,1,36,4,6.0,5,2,22,19.4,61.1,6,99,7
T20 Blast,2,173,2,56,2,9.33,8,3,14,30.6,38.9,8,164,5
T20 World Cup,0,160,1,40,2,6.67,3,0,17,8.3,47.2,8,107,6
T20 World Cup,2,139,2,53,2,8.83,4,3,18,19.4,50.0,8,145,6
MLC,2,147,1,53,2,8.83,7,3,17,27.8,47.2,8,163,6
MLC,1,157,2,58,0,9.67,8,3,19,30.6,52.8,10,181,4
T20I,1,153,1,52,1,8.67,6,2,22,22.2,61.1,9,171,4
ILT20,1,181,2,47,1,7.83,6,1,19,19.4,52.8,9,143,3
MLC,1,164,1,57,1,9.5,7,3,22,27.8,61.1,9,168,4
IPL,2,165,2,23,4,3.83,2,1,16,8.3,44.4,6,61,9
T20 Blast,0,155,1,36,2,6.0,3,0,16,8.3,44.4,8,85,6
CPL,1,139,2,52,1,8.67,4,2,20,16.7,55.6,9,148,7
T20I,1,175,1,46,4,7.67,5,2,11,19.4,30.6,6,112,6
BBL,2,172,2,63,2,10.5,5,1,16,16.7,44.4,8,197,4
Super Smash,1,142,1,39,1,6.5,3,1,21,11.1,58.3,9,106,5
BBL,1,138,2,55,1,9.17,6,3,19,25.0,52.8,9,175,5
CPL,0,173,1,35,4,5.83,5,0,22,13.9,61.1,6,92,6
MLC,0,178,2,36,3,6.0,5,1,12,16.7,33.3,7,100,9
ILT20,0,174,1,50,2,8.33,4,2,22,16.7,61.1,8,122,6
IPL,0,160,2,53,2,8.83,4,2,15,16.7,41.7,8,144,5
SA20,2,154,1,64,2,10.67,6,0,19,16.7,52.8,8,197,7
PSL,2,157,2,44,3,7.33,3,2,15,13.9,41.7,7,149,6
IPL,2,169,1,49,3,8.17,4,2,17,16.7,47.2,7,153,8
PSL,0,162,2,46,1,7.67,4,1,18,13.9,50.0,9,125,5
IPL,0,176,1,45,3,7.5,3,2,19,13.9,52.8,7,131,7
T20I,1,145,2,47,1,7.83,3,0,21,8.3,58.3,9,135,5
T20 Blast,1,165,1,38,1,6.33,3,2,18,13.9,50.0,9,99,6
CPL,1,159,2,66,0,11.0,6,2,21,22.2,58.3,10,210,2
T20I,1,165,1,60,3,10.0,7,2,13,25.0,36.1,7,161,6
SA20,0,155,2,55,1,9.17,4,2,18,16.7,50.0,9,151,7
T20I,1,168,1,10,6,1.67,0,0,10,0.0,27.8,4,25,10
PSL,1,156,2,66,1,11.0,6,4,21,27.8,58.3,9,187,4
ILT20,0,155,1,38,1,6.33,5,0,17,13.9,47.2,9,120,4
BBL,1,142,2,59,1,9.83,5,0,16,13.9,44.4,9,181,4
SA20,2,153,1,49,2,8.17,5,2,20,19.4,55.6,8,144,6
CPL,0,162,2,54,2,9.0,4,0,17,11.1,47.2,8,132,6
LPL,1,152,1,52,3,8.67,7,0,21,19.4,58.3,7,142,8
PSL,2,173,2,23,5,3.83,3,0,18,8.3,50.0,5,44,8
BPL,1,165,1,49,3,8.17,7,0,20,19.4,55.6,7,134,6
PSL,2,143,2,29,5,4.83,4,1,15,13.9,41.7,5,85,10
T20 Blast,1,161,1,30,3,5.0,2,0,19,5.6,52.8,7,93,9
T20 Blast,1,173,2,13,6,2.17,1,0,18,2.8,50.0,4,42,10
T20 World Cup,1,156,1,42,3,7.0,5,2,15,19.4,41.7,7,119,5
SA20,0,168,2,37,3,6.17,4,1,16,13.9,44.4,7,93,7
CPL,0,147,1,50,1,8.33,4,0,18,11.1,50.0,9,121,6
SA20,1,156,2,41,3,6.83,5,2,19,19.4,52.8,7,129,5
LPL,1,176,1,56,0,9.33,6,1,21,19.4,58.3,10,157,4
MLC,0,150,2,41,2,6.83,4,2,20,16.7,55.6,8,114,8
T20I,1,174,1,54,3,9.0,7,1,13,22.2,36.1,7,150,7
T20I,1,139,2,46,1,7.67,4,0,18,11.1,50.0,9,133,4
CPL,1,152,1,39,3,6.5,3,2,13,13.9,36.1,7,99,6
ILT20,2,175,2,44,3,7.33,3,2,20,13.9,55.6,7,117,8
SA20,0,175,1,39,3,6.5,5,2,21,19.4,58.3,7,106,8
T20 Blast,2,138,2,34,5,5.67,4,1,12,13.9,33.3,5,87,10
CPL,1,181,1,44,3,7.33,5,0,12,13.9,33.3,7,114,9
PSL,2,141,2,38,4,6.33,3,2,20,13.9,55.6,6,127,10
T20I,1,161,1,23,4,3.83,2,0,19,5.6,52.8,6,58,8
MLC,1,146,2,43,4,7.17,5,2,20,19.4,55.6,6,116,7
IPL,2,163,1,72,1,12.0,8,2,16,27.8,44.4,9,265,6
SA20,1,174,2,48,2,8.0,6,2,14,22.2,38.9,8,139,6
Super Smash,0,160,1,50,2,8.33,7,2,14,25.0,38.9,8,120,5
MLC,1,141,2,39,3,6.5,3,2,12,13.9,33.3,7,97,6
BBL,2,158,1,58,1,9.67,4,0,16,11.1,44.4,9,203,4
LPL,1,147,2,38,3,6.33,5,1,12,16.7,33.3,7,108,5
Super Smash,2,181,1,56,2,9.33,8,1,18,25.0,50.0,8,157,8
Super Smash,1,152,2,43,2,7.17,3,0,15,8.3,41.7,8,118,5
LPL,1,177,1,39,3,6.5,3,1,13,11.1,36.1,7,107,5
SA20,0,144,2,52,2,8.67,4,3,20,19.4,55.6,8,135,5
BPL,1,138,1,35,3,5.83,4,1,15,13.9,41.7,7,89,6
