league,pitch_type,venue_avg,innings,pp_runs,pp_wickets,pp_run_rate,pp_fours,pp_sixes,pp_dot_balls,pp_extras,pp_boundary_pct,pp_dot_pct,wickets_in_hand,final_score,final_wickets
ILT20,0,139,2,48,0,8.0,4,0,21,3,11.1,58.3,10,130,3
BBL,1,154,1,56,1,9.33,8,3,21,0,30.6,58.3,9,173,4
BBL,2,151,2,44,2,7.33,3,2,19,1,13.9,52.8,8,149,8
BBL,1,166,1,61,1,10.17,8,1,19,5,25.0,52.8,9,197,3
MLC,0,150,2,45,2,7.5,6,1,18,0,19.4,50.0,8,106,7
BBL,2,177,1,53,1,8.83,5,1,19,6,16.7,52.8,9,186,6
BPL,2,150,2,54,2,9.0,5,1,16,3,16.7,44.4,8,154,6
Super Smash,0,164,1,42,2,7.0,3,0,17,6,8.3,47.2,8,95,7
BPL,2,163,2,50,2,8.33,7,3,14,2,27.8,38.9,8,144,8
BPL,1,170,1,49,2,8.17,7,0,20,5,19.4,55.6,8,144,5
PSL,1,181,2,45,2,7.5,6,1,19,5,19.4,52.8,8,141,5
MLC,1,174,1,45,0,7.5,4,2,22,1,16.7,61.1,10,142,4
T20 Blast,2,150,2,44,2,7.33,4,0,17,4,11.1,47.2,8,122,5
Super Smash,2,141,1,36,5,6.0,3,2,19,6,13.9,52.8,5,90,7
T20I,2,165,2,49,2,8.17,5,2,21,3,19.4,58.3,8,150,7
BPL,2,143,1,23,5,3.83,1,0,12,6,2.8,33.3,5,46,7
CPL,2,159,2,38,4,6.33,4,0,13,0,11.1,36.1,6,94,7
T20 Blast,0,169,1,31,3,5.17,3,1,22,1,11.1,61.1,7,62,6
PSL,1,177,2,48,2,8.0,6,1,14,4,19.4,38.9,8,122,8
ILT20,1,166,1,59,0,9.83,5,1,19,3,16.7,52.8,10,197,4
PSL,1,151,2,14,6,2.33,2,0,20,2,5.6,55.6,4,37,9
T20I,0,160,1,45,3,7.5,4,1,19,5,13.9,52.8,7,122,8
Super Smash,0,140,2,53,1,8.83,4,0,20,0,11.1,55.6,9,135,7
ILT20,1,157,1,51,2,8.5,6,0,20,2,16.7,55.6,8,144,4
CPL,1,138,2,50,2,8.33,5,2,20,4,19.4,55.6,8,134,7
PSL,0,145,1,47,4,7.83,5,2,15,1,19.4,41.7,6,113,7
BBL,0,161,2,56,1,9.33,8,0,18,3,22.2,50.0,9,153,6
IPL,0,181,1,39,5,6.5,3,2,9,6,13.9,25.0,5,87,9
PSL,1,180,2,33,5,5.5,3,1,11,2,11.1,30.6,5,89,8
SA20,0,141,1,43,1,7.17,3,2,16,3,13.9,44.4,9,133,3
T20 Blast,1,157,2,50,1,8.33,5,0,16,1,13.9,44.4,9,136,3
LPL,1,147,1,46,2,7.67,4,1,19,5,13.9,52.8,8,144,4
T20I,1,157,2,42,3,7.0,6,0,13,2,16.7,36.1,7,118,9
BPL,1,175,1,43,2,7.17,5,1,14,4,16.7,38.9,8,131,8
T20 World Cup,1,140,2,47,1,7.83,4,2,20,6,16.7,55.6,9,128,4
BPL,1,174,1,54,1,9.0,5,1,20,2,16.7,55.6,9,153,3
T20 Blast,2,154,2,63,0,10.5,9,3,18,6,33.3,50.0,10,205,4
Super Smash,2,166,1,48,4,8.0,6,1,14,6,19.4,38.9,6,137,9
Super Smash,2,169,2,48,1,8.0,6,3,18,2,25.0,50.0,9,122,3
CPL,1,179,1,53,1,8.83,4,2,19,5,16.7,52.8,9,138,4
T20I,1,152,2,65,2,10.83,6,3,22,5,25.0,61.1,8,185,5
Super Smash,0,166,1,60,1,10.0,5,2,19,0,19.4,52.8,9,147,6
ILT20,1,152,2,59,0,9.83,4,3,20,2,19.4,55.6,10,181,6
SA20,0,154,1,55,1,9.17,5,1,20,4,16.7,55.6,9,153,4
MLC,2,139,2,34,5,5.67,4,0,15,0,11.1,41.7,5,89,10
LPL,2,153,1,56,1,9.33,4,3,20,1,19.4,55.6,9,160,7
PSL,0,153,2,28,3,4.67,2,0,16,1,5.6,44.4,7,58,6
T20 Blast,2,152,1,39,3,6.5,5,0,15,6,13.9,41.7,7,98,6
MLC,0,176,2,42,3,7.0,4,0,19,5,11.1,52.8,7,115,5
T20 World Cup,1,171,1,30,5,5.0,2,1,17,4,8.3,47.2,5,73,10
SA20,0,178,2,36,3,6.0,4,1,15,5,13.9,41.7,7,90,5
PSL,1,175,1,36,4,6.0,3,1,22,1,11.1,61.1,6,103,8
IPL,1,174,2,56,2,9.33,6,3,21,0,25.0,58.3,8,190,4
T20 World Cup,1,160,1,63,1,10.5,8,0,17,4,22.2,47.2,9,195,7
T20 Blast,1,168,2,26,4,4.33,2,0,10,5,5.6,27.8,6,69,6
BBL,2,155,1,25,5,4.17,2,0,13,5,5.6,36.1,5,51,10
PSL,2,157,2,57,2,9.5,5,1,17,4,16.7,47.2,8,177,6
T20 World Cup,0,149,1,40,2,6.67,3,0,18,2,8.3,50.0,8,89,7
BBL,1,145,2,62,1,10.33,8,1,16,5,25.0,44.4,9,186,5
BBL,1,168,1,54,2,9.0,6,0,22,3,16.7,61.1,8,185,4
Super Smash,1,154,2,41,2,6.83,3,0,22,6,8.3,61.1,8,115,8
Super Smash,1,151,1,36,5,6.0,5,0,13,0,13.9,36.1,5,88,9
CPL,2,156,2,48,3,8.0,5,3,17,1,22.2,47.2,7,139,8
BBL,2,141,1,46,4,7.67,3,0,19,1,8.3,52.8,6,135,10
SA20,2,174,2,47,2,7.83,5,1,14,0,16.7,38.9,8,159,6
T20I,1,177,1,33,5,5.5,2,0,10,0,5.6,27.8,5,87,10
PSL,1,140,2,36,3,6.0,3,0,20,5,8.3,55.6,7,103,6
T20 Blast,2,144,1,53,1,8.83,7,2,16,2,25.0,44.4,9,148,6
MLC,1,179,2,56,1,9.33,4,0,22,1,11.1,61.1,9,168,5
MLC,1,166,1,56,0,9.33,8,1,19,6,25.0,52.8,10,171,3
SA20,1,178,2,35,4,5.83,4,1,18,5,13.9,50.0,6,92,10
T20 World Cup,1,176,1,61,2,10.17,5,1,16,6,16.7,44.4,8,182,8
BBL,0,139,2,46,1,7.67,5,1,20,0,16.7,55.6,9,130,4
LPL,2,161,1,52,1,8.67,5,3,21,1,22.2,58.3,9,152,5
T20 World Cup,0,161,2,54,2,9.0,5,0,15,6,13.9,41.7,8,137,6
BBL,0,157,1,30,3,5.0,2,0,14,1,5.6,38.9,7,71,7
IPL,2,150,2,37,5,6.17,3,0,9,6,8.3,25.0,5,120,10
CPL,1,158,1,53,2,8.83,7,1,21,2,22.2,58.3,8,151,7
BBL,1,164,2,51,2,8.5,4,3,19,3,19.4,52.8,8,161,6
MLC,1,139,1,57,2,9.5,6,2,19,5,22.2,52.8,8,171,7
LPL,1,150,2,63,0,10.5,8,0,19,4,22.2,52.8,10,191,6
SA20,0,162,1,40,3,6.67,3,0,22,1,8.3,61.1,7,89,6
SA20,1,145,2,37,5,6.17,4,1,21,1,13.9,58.3,5,91,9
LPL,0,140,1,50,0,8.33,4,1,22,5,13.9,61.1,10,136,3
PSL,1,181,2,32,3,5.33,4,2,17,4,16.7,47.2,7,90,7
CPL,2,179,1,36,3,6.0,5,0,18,0,13.9,50.0,7,84,6
Super Smash,2,165,2,54,2,9.0,5,2,19,0,19.4,52.8,8,143,5
T20 World Cup,1,167,1,54,2,9.0,7,2,18,6,25.0,50.0,8,163,6
SA20,2,177,2,35,5,5.83,3,1,9,0,11.1,25.0,5,86,9
BPL,1,150,1,48,0,8.0,6,3,19,6,25.0,52.8,10,143,5
LPL,1,147,2,53,2,8.83,7,2,22,0,25.0,61.1,8,140,5
CPL,0,161,1,36,3,6.0,4,2,18,2,16.7,50.0,7,90,8
PSL,1,140,2,54,2,9.0,6,0,22,2,16.7,61.1,8,137,8
PSL,1,156,1,47,1,7.83,5,1,16,1,16.7,44.4,9,143,5
PSL,2,173,2,39,4,6.5,3,1,20,1,11.1,55.6,6,94,10
PSL,0,181,1,49,1,8.17,5,0,19,5,13.9,52.8,9,124,5
CPL,1,150,2,46,1,7.67,6,2,17,0,22.2,47.2,9,122,6
BPL,2,161,1,48,2,8.0,4,0,15,6,11.1,41.7,8,137,7
MLC,2,177,2,36,3,6.0,5,1,18,6,16.7,50.0,7,107,8
MLC,1,148,1,41,4,6.83,4,2,17,2,16.7,47.2,6,122,9
T20 Blast,0,176,2,43,2,7.17,5,1,21,2,16.7,58.3,8,103,7
IPL,1,166,1,49,3,8.17,4,1,18,0,13.9,50.0,7,147,5
MLC,2,175,2,47,3,7.83,3,0,18,6,8.3,50.0,7,121,7
IPL,2,153,1,54,1,9.0,7,3,21,4,27.8,58.3,9,196,5
T20 Blast,1,177,2,39,4,6.5,4,1,17,5,13.9,47.2,6,100,7
Super Smash,0,180,1,48,1,8.0,6,2,21,1,22.2,58.3,9,113,7
Super Smash,0,142,2,32,3,5.33,2,0,19,6,5.6,52.8,7,66,8
LPL,1,171,1,50,2,8.33,6,1,16,1,19.4,44.4,8,139,5
PSL,1,167,2,35,4,5.83,3,2,21,4,13.9,58.3,6,99,6
LPL,0,145,1,36,3,6.0,4,2,20,2,16.7,55.6,7,92,9
ILT20,1,140,2,51,1,8.5,5,3,16,6,22.2,44.4,9,155,6
CPL,1,150,1,45,3,7.5,6,0,18,1,16.7,50.0,7,127,5
BPL,0,148,2,58,0,9.67,5,3,19,5,22.2,52.8,10,164,6
ILT20,0,168,1,31,2,5.17,3,1,17,5,11.1,47.2,8,92,7
BBL,1,176,2,59,1,9.83,5,0,18,0,13.9,50.0,9,191,6
MLC,1,153,1,65,1,10.83,8,4,22,1,33.3,61.1,9,178,5
ILT20,2,148,2,47,3,7.83,6,2,20,5,22.2,55.6,7,147,8
T20 Blast,1,143,1,36,1,6.0,5,2,21,0,19.4,58.3,9,102,6
MLC,1,177,2,40,3,6.67,5,1,20,4,16.7,55.6,7,108,8
MLC,2,165,1,48,3,8.0,5,3,21,2,22.2,58.3,7,136,5
T20 Blast,1,160,2,46,1,7.67,5,2,19,3,19.4,52.8,9,131,4
SA20,1,156,1,47,2,7.83,3,1,20,2,11.1,55.6,8,124,8
PSL,1,145,2,53,2,8.83,5,2,20,1,19.4,55.6,8,151,6
T20 Blast,0,155,1,56,2,9.33,7,1,19,4,22.2,52.8,8,130,6
LPL,1,176,2,55,2,9.17,4,0,16,2,11.1,44.4,8,146,7
SA20,1,166,1,51,2,8.5,6,2,22,6,22.2,61.1,8,123,5
Super Smash,2,172,2,11,6,1.83,0,0,22,1,0.0,61.1,4,26,10
T20 Blast,1,175,1,51,2,8.5,6,3,16,3,25.0,44.4,8,139,7
SA20,2,166,2,42,3,7.0,5,0,16,5,13.9,44.4,7,105,5
PSL,1,147,1,41,3,6.83,3,1,13,3,11.1,36.1,7,120,5
PSL,0,159,2,44,3,7.33,3,2,22,1,13.9,61.1,7,116,6
BBL,1,159,1,20,5,3.33,2,0,8,2,5.6,22.2,5,57,8
T20I,2,175,2,64,1,10.67,9,2,18,3,30.6,50.0,9,193,5
IPL,0,168,1,71,1,11.83,9,2,19,6,30.6,52.8,9,232,3
MLC,2,139,2,51,1,8.5,7,1,17,6,22.2,47.2,9,158,3
T20 World Cup,1,163,1,61,1,10.17,6,2,16,3,22.2,44.4,9,183,5
T20 World Cup,1,149,2,39,3,6.5,5,2,20,6,19.4,55.6,7,97,7
ILT20,2,168,1,50,3,8.33,4,1,18,3,13.9,50.0,7,162,5
T20I,2,173,2,36,4,6.0,3,2,18,1,13.9,50.0,6,104,8
SA20,0,142,1,40,2,6.67,3,1,17,4,11.1,47.2,8,94,7
BBL,0,168,2,38,3,6.33,4,2,21,0,16.7,58.3,7,98,5
IPL,1,161,1,58,2,9.67,7,3,17,1,27.8,47.2,8,194,6
T20 Blast,2,140,2,45,2,7.5,6,1,14,0,19.4,38.9,8,122,5
CPL,0,175,1,34,1,5.67,2,0,18,6,5.6,50.0,9,112,6
IPL,1,172,2,52,1,8.67,6,3,18,2,25.0,50.0,9,167,6
ILT20,0,158,1,22,5,3.67,3,1,19,2,11.1,52.8,5,47,8
IPL,1,167,2,58,2,9.67,5,3,19,2,22.2,52.8,8,196,7
CPL,1,163,1,55,2,9.17,4,3,18,4,19.4,50.0,8,142,4
T20 World Cup,0,180,2,39,4,6.5,3,1,19,4,11.1,52.8,6,105,6
LPL,1,153,1,51,2,8.5,7,2,14,1,25.0,38.9,8,141,6
Super Smash,2,175,2,51,4,8.5,5,3,22,4,22.2,61.1,6,135,6
T20 World Cup,2,161,1,56,0,9.33,4,1,22,3,13.9,61.1,10,191,5
ILT20,0,181,2,34,4,5.67,3,2,11,5,13.9,30.6,6,98,9
PSL,0,169,1,25,5,4.17,2,0,13,0,5.6,36.1,5,75,9
LPL,0,181,2,31,4,5.17,2,0,19,1,5.6,52.8,6,76,8
BPL,1,173,1,40,3,6.67,3,2,16,4,13.9,44.4,7,103,5
BPL,0,160,2,47,2,7.83,3,2,20,1,13.9,55.6,8,118,5
IPL,2,179,1,52,3,8.67,4,0,21,5,11.1,58.3,7,172,8
SA20,2,144,2,64,2,10.67,9,4,16,3,36.1,44.4,8,186,4
SA20,2,163,1,36,5,6.0,3,1,8,0,11.1,22.2,5,92,7
PSL,0,161,2,28,3,4.67,4,0,13,5,11.1,36.1,7,77,5
IPL,0,143,1,44,1,7.33,5,2,21,3,19.4,58.3,9,144,5
LPL,2,153,2,37,3,6.17,3,0,12,4,8.3,33.3,7,83,5
Super Smash,1,169,1,57,0,9.5,5,0,21,2,13.9,58.3,10,159,2
T20I,1,146,2,46,4,7.67,5,1,21,6,16.7,58.3,6,137,6
PSL,2,139,1,39,3,6.5,4,1,16,3,13.9,44.4,7,127,6
MLC,0,156,2,37,3,6.17,5,0,17,6,13.9,47.2,7,91,6
IPL,0,160,1,33,3,5.5,3,2,12,1,13.9,33.3,7,90,6
Super Smash,0,161,2,49,1,8.17,5,2,18,5,19.4,50.0,9,126,4
CPL,0,174,1,27,5,4.5,2,1,10,1,8.3,27.8,5,47,9
T20I,0,144,2,50,1,8.33,5,2,20,4,19.4,55.6,9,135,6
CPL,2,170,1,47,3,7.83,6,0,19,1,16.7,52.8,7,130,6
T20 Blast,1,156,2,55,1,9.17,6,0,17,0,16.7,47.2,9,146,3
T20 World Cup,2,138,1,58,2,9.67,6,1,22,5,19.4,61.1,8,158,7
T20I,2,158,2,55,2,9.17,6,3,17,2,25.0,47.2,8,167,7
BPL,2,172,1,24,6,4.0,2,1,12,6,8.3,33.3,4,61,9
IPL,0,139,2,47,2,7.83,5,1,20,1,16.7,55.6,8,143,4
T20I,1,143,1,34,3,5.67,2,0,21,1,5.6,58.3,7,102,5
ILT20,2,159,2,61,0,10.17,6,3,21,1,25.0,58.3,10,194,6
Super Smash,0,140,1,46,2,7.67,5,1,15,2,16.7,41.7,8,103,4
BPL,0,155,2,42,1,7.0,3,2,19,0,13.9,52.8,9,112,7
SA20,1,150,1,55,2,9.17,4,1,15,3,13.9,41.7,8,153,6
LPL,2,147,2,46,3,7.67,5,1,19,0,16.7,52.8,7,148,5
CPL,2,148,1,44,2,7.33,4,2,18,6,16.7,50.0,8,119,8
BPL,2,153,2,59,1,9.83,8,2,16,5,27.8,44.4,9,169,7
T20 World Cup,0,138,1,48,0,8.0,4,0,18,3,11.1,50.0,10,143,2
T20 World Cup,2,180,2,44,3,7.33,3,2,14,1,13.9,38.9,7,121,6
CPL,2,150,1,28,5,4.67,4,1,9,6,13.9,25.0,5,66,9
PSL,1,176,2,55,1,9.17,5,2,21,3,19.4,58.3,9,179,3
IPL,2,144,1,64,0,10.67,9,4,20,0,36.1,55.6,10,241,3
T20 Blast,2,139,2,45,0,7.5,5,0,21,4,13.9,58.3,10,148,3
T20 Blast,1,168,1,52,2,8.67,5,3,21,1,22.2,58.3,8,140,6
BBL,0,180,2,45,2,7.5,5,2,22,6,19.4,61.1,8,125,8
Super Smash,1,166,1,32,4,5.33,2,2,18,5,11.1,50.0,6,62,7
T20 Blast,0,146,2,39,2,6.5,4,0,17,5,11.1,47.2,8,84,4
T20I,0,157,1,32,2,5.33,4,2,15,2,16.7,41.7,8,92,8
LPL,0,144,2,38,3,6.33,3,1,15,4,11.1,41.7,7,97,8
MLC,1,181,1,63,2,10.5,6,1,14,4,19.4,38.9,8,176,6
LPL,1,175,2,44,3,7.33,3,0,16,3,8.3,44.4,7,112,6
ILT20,1,158,1,45,3,7.5,4,0,16,3,11.1,44.4,7,126,6
MLC,1,169,2,38,4,6.33,3,2,14,3,13.9,38.9,6,97,10
T20 World Cup,1,180,1,41,3,6.83,5,1,22,0,16.7,61.1,7,121,8
T20 Blast,1,150,2,38,2,6.33,4,2,14,3,16.7,38.9,8,116,6
CPL,0,143,1,42,2,7.0,5,2,21,6,19.4,58.3,8,99,5
SA20,2,147,2,48,2,8.0,4,3,16,4,19.4,44.4,8,150,7
BBL,1,153,1,34,4,5.67,2,2,16,3,11.1,44.4,6,108,9
CPL,0,166,2,43,3,7.17,3,2,17,1,13.9,47.2,7,104,9
Super Smash,2,155,1,53,1,8.83,4,3,18,1,19.4,50.0,9,172,3
IPL,1,171,2,40,4,6.67,3,1,17,5,11.1,47.2,6,114,7
BBL,0,142,1,54,2,9.0,4,0,20,4,11.1,55.6,8,139,8
BPL,0,166,2,48,1,8.0,5,3,19,3,22.2,52.8,9,133,5
ILT20,0,178,1,37,2,6.17,3,0,21,4,8.3,58.3,8,91,7
T20 World Cup,1,161,2,40,3,6.67,3,0,22,0,8.3,61.1,7,100,6
BPL,0,143,1,44,1,7.33,4,1,19,2,13.9,52.8,9,118,3
ILT20,1,164,2,50,2,8.33,7,1,21,5,22.2,58.3,8,158,7
ILT20,1,168,1,43,4,7.17,6,2,12,0,22.2,33.3,6,107,6
ILT20,2,158,2,47,3,7.83,3,0,12,1,8.3,33.3,7,154,7
SA20,1,149,1,31,3,5.17,4,0,19,5,11.1,52.8,7,97,7
LPL,1,147,2,37,3,6.17,5,0,12,3,13.9,33.3,7,109,6
SA20,1,175,1,18,5,3.0,2,1,14,0,8.3,38.9,5,34,10
T20 World Cup,0,163,2,48,1,8.0,4,1,19,1,13.9,52.8,9,146,6
T20I,0,142,1,40,4,6.67,4,0,22,5,11.1,61.1,6,97,10
IPL,1,166,2,82,0,13.67,8,1,21,4,25.0,58.3,10,265,4
BBL,0,152,1,52,0,8.67,7,1,20,1,22.2,55.6,10,136,3
T20 World Cup,0,178,2,52,2,8.67,6,3,22,5,25.0,61.1,8,127,8
Super Smash,0,149,1,45,3,7.5,3,2,20,0,13.9,55.6,7,112,5
BBL,2,171,2,53,1,8.83,6,2,22,4,22.2,61.1,9,187,4
SA20,1,140,1,58,2,9.67,8,3,15,0,30.6,41.7,8,188,5
SA20,1,139,2,46,2,7.67,4,0,17,6,11.1,47.2,8,127,7
IPL,1,160,1,75,1,12.5,8,4,20,0,33.3,55.6,9,246,5
SA20,0,177,2,54,1,9.0,6,2,20,1,22.2,55.6,9,146,7
IPL,1,140,1,52,3,8.67,6,1,21,2,19.4,58.3,7,148,6
Super Smash,0,141,2,45,1,7.5,4,2,20,1,16.7,55.6,9,114,6
BBL,2,143,1,44,2,7.33,4,1,22,4,13.9,61.1,8,148,6
T20I,0,163,2,34,2,5.67,4,2,16,4,16.7,44.4,8,85,8
T20 World Cup,1,149,1,61,2,10.17,7,3,20,2,27.8,55.6,8,172,8
CPL,2,174,2,53,3,8.83,4,0,15,3,11.1,41.7,7,148,7
IPL,1,139,1,43,4,7.17,6,2,13,5,22.2,36.1,6,137,9
SA20,1,173,2,11,6,1.83,1,0,21,1,2.8,58.3,4,26,8
BPL,1,162,1,53,1,8.83,4,1,17,5,13.9,47.2,9,161,6
MLC,2,176,2,59,1,9.83,5,0,19,5,13.9,52.8,9,181,5
ILT20,1,145,1,22,6,3.67,1,0,13,1,2.8,36.1,4,63,10
IPL,1,149,2,44,4,7.33,3,0,10,2,8.3,27.8,6,132,7
LPL,2,181,1,53,3,8.83,6,1,19,4,19.4,52.8,7,156,8
T20 World Cup,1,176,2,47,3,7.83,4,0,17,0,11.1,47.2,7,143,6
T20 Blast,1,140,1,46,0,7.67,4,1,19,5,13.9,52.8,10,133,3
PSL,0,142,2,47,1,7.83,6,2,17,2,22.2,47.2,9,124,5
Super Smash,0,165,1,41,2,6.83,5,2,17,0,19.4,47.2,8,93,6
MLC,2,172,2,42,2,7.0,5,2,16,0,19.4,44.4,8,106,8
SA20,1,169,1,54,4,9.0,6,0,12,6,16.7,33.3,6,173,10
SA20,1,152,2,57,2,9.5,7,2,14,0,25.0,38.9,8,163,8
LPL,1,166,1,50,2,8.33,4,0,21,3,11.1,58.3,8,127,6
MLC,1,147,2,51,2,8.5,7,3,17,3,27.8,47.2,8,152,6
BPL,1,172,1,43,4,7.17,3,1,15,0,11.1,41.7,6,120,7
ILT20,1,143,2,42,3,7.0,6,0,15,4,16.7,41.7,7,108,5
PSL,1,153,1,47,2,7.83,4,1,18,4,13.9,50.0,8,142,7
PSL,1,144,2,34,4,5.67,2,1,10,4,8.3,27.8,6,106,9
T20I,1,155,1,36,3,6.0,5,2,16,0,19.4,44.4,7,94,6
IPL,2,143,2,55,2,9.17,5,0,16,1,13.9,44.4,8,185,4
MLC,0,167,1,52,2,8.67,7,0,21,3,19.4,58.3,8,124,4
PSL,0,138,2,34,3,5.67,3,0,15,4,8.3,41.7,7,75,6
IPL,1,171,1,48,1,8.0,4,1,20,0,13.9,55.6,9,144,5
PSL,1,168,2,61,0,10.17,5,3,20,6,22.2,55.6,10,199,6
PSL,1,153,1,40,4,6.67,5,2,13,6,19.4,36.1,6,118,6
MLC,1,178,2,41,3,6.83,5,1,12,5,16.7,33.3,7,123,7
T20 Blast,2,149,1,49,2,8.17,5,3,18,6,22.2,50.0,8,136,8
ILT20,1,154,2,46,2,7.67,3,1,18,5,11.1,50.0,8,137,4
CPL,0,163,1,51,0,8.5,6,0,20,0,16.7,55.6,10,134,4
T20I,0,171,2,43,4,7.17,3,2,18,4,13.9,50.0,6,102,6
MLC,2,160,1,50,1,8.33,7,3,17,3,27.8,47.2,9,150,5
SA20,0,159,2,44,2,7.33,4,2,20,3,16.7,55.6,8,124,7
BPL,2,175,1,49,1,8.17,7,0,18,0,19.4,50.0,9,146,3
BPL,1,146,2,34,3,5.67,2,0,12,6,5.6,33.3,7,85,9
Super Smash,0,152,1,58,0,9.67,6,1,20,5,19.4,55.6,10,163,2
T20I,1,165,2,60,3,10.0,7,2,13,1,25.0,36.1,7,161,6
BPL,1,178,1,54,0,9.0,4,1,22,6,13.9,61.1,10,165,6
ILT20,1,181,2,58,3,9.67,5,2,20,0,19.4,55.6,7,189,5
BPL,2,163,1,33,5,5.5,2,2,13,4,11.1,36.1,5,80,10
CPL,1,144,2,53,2,8.83,4,1,19,1,13.9,52.8,8,165,5
BBL,1,174,1,60,1,10.0,8,1,19,2,25.0,52.8,9,186,4
T20I,1,139,2,50,3,8.33,6,2,16,3,22.2,44.4,7,127,5
CPL,2,144,1,46,2,7.67,3,2,16,5,13.9,44.4,8,148,7
Super Smash,1,140,2,42,3,7.0,3,2,20,6,13.9,55.6,7,99,9
BPL,0,168,1,36,3,6.0,3,0,18,3,8.3,50.0,7,80,6
T20I,1,147,2,38,1,6.33,5,2,20,0,19.4,55.6,9,131,5
Super Smash,2,156,1,45,2,7.5,4,2,16,0,16.7,44.4,8,133,6
SA20,0,170,2,30,4,5.0,3,0,15,5,8.3,41.7,6,87,8
T20 World Cup,2,156,1,44,3,7.33,5,2,15,0,19.4,41.7,7,123,8
T20I,1,164,2,41,3,6.83,4,1,17,3,13.9,47.2,7,107,6
BBL,1,152,1,28,5,4.67,2,0,22,4,5.6,61.1,5,88,8
Super Smash,1,163,2,38,3,6.33,3,2,12,6,13.9,33.3,7,93,8
IPL,2,176,1,40,3,6.67,3,1,18,2,11.1,50.0,7,129,7
T20 Blast,0,172,2,44,3,7.33,6,2,21,6,22.2,58.3,7,91,8
Super Smash,1,154,1,32,3,5.33,2,0,17,1,5.6,47.2,7,74,6
PSL,1,154,2,27,4,4.5,2,0,20,4,5.6,55.6,6,69,9
PSL,1,178,1,45,2,7.5,5,1,19,5,16.7,52.8,8,134,6
LPL,1,153,2,49,1,8.17,5,2,21,0,19.4,58.3,9,149,7
BBL,0,171,1,35,3,5.83,5,0,22,3,13.9,61.1,7,94,6
Super Smash,0,151,2,29,3,4.83,4,0,12,0,11.1,33.3,7,63,9
PSL,0,141,1,33,4,5.5,2,2,20,1,11.1,55.6,6,89,10
ILT20,1,155,2,25,4,4.17,2,1,11,6,8.3,30.6,6,56,6
ILT20,1,138,1,43,2,7.17,6,0,14,1,16.7,38.9,8,132,4
ILT20,1,141,2,22,6,3.67,2,1,18,1,8.3,50.0,4,62,10
CPL,1,161,1,54,0,9.0,4,2,22,3,16.7,61.1,10,175,6
Super Smash,1,159,2,48,1,8.0,4,2,16,1,16.7,44.4,9,124,7
LPL,1,173,1,64,1,10.67,5,2,16,3,19.4,44.4,9,187,3
BBL,1,142,2,45,3,7.5,3,2,13,4,13.9,36.1,7,125,7
PSL,1,158,1,37,5,6.17,3,0,13,2,8.3,36.1,5,93,8
ILT20,1,150,2,28,6,4.67,3,0,22,3,8.3,61.1,4,71,8
CPL,1,151,1,58,1,9.67,8,1,18,3,25.0,50.0,9,171,3
IPL,1,150,2,64,0,10.67,5,4,22,5,25.0,61.1,10,220,3
BPL,0,138,1,31,3,5.17,4,1,15,2,13.9,41.7,7,63,7
BPL,2,158,2,46,1,7.67,4,0,17,6,11.1,47.2,9,141,4
T20 Blast,1,155,1,50,1,8.33,7,2,21,1,25.0,58.3,9,146,6
PSL,1,145,2,64,2,10.67,8,2,18,5,27.8,50.0,8,184,8
T20 World Cup,0,139,1,53,2,8.83,5,0,16,5,13.9,44.4,8,146,4
T20 Blast,1,149,2,31,3,5.17,4,0,15,0,11.1,41.7,7,82,9
MLC,1,144,1,54,1,9.0,5,2,20,4,19.4,55.6,9,153,6
T20 Blast,1,173,2,34,4,5.67,3,2,21,1,13.9,58.3,6,79,9
BPL,1,166,1,42,5,7.0,3,0,12,6,8.3,33.3,5,109,10
T20 Blast,1,158,2,41,4,6.83,5,1,15,4,16.7,41.7,6,101,10
BPL,2,139,1,41,3,6.83,3,1,14,1,11.1,38.9,7,111,8
MLC,1,156,2,44,3,7.33,4,0,20,5,11.1,55.6,7,142,5
CPL,2,153,1,35,3,5.83,5,0,18,0,13.9,50.0,7,81,8
T20 Blast,1,163,2,48,4,8.0,5,3,21,6,22.2,58.3,6,114,6
BBL,1,181,1,54,2,9.0,6,1,21,0,19.4,58.3,8,157,8
CPL,2,169,2,57,1,9.5,6,0,17,3,16.7,47.2,9,180,3
T20I,0,146,1,45,2,7.5,5,1,15,6,16.7,41.7,8,109,8
MLC,2,152,2,50,1,8.33,5,2,18,2,19.4,50.0,9,139,3
BPL,2,181,1,44,2,7.33,4,1,19,2,13.9,52.8,8,127,6
T20 World Cup,1,162,2,52,2,8.67,5,3,19,0,22.2,52.8,8,150,5
T20I,1,172,1,38,2,6.33,5,2,14,3,19.4,38.9,8,122,8
Super Smash,1,155,2,49,2,8.17,7,0,17,4,19.4,47.2,8,134,8
T20 Blast,1,179,1,44,3,7.33,5,2,12,6,19.4,33.3,7,102,8
Super Smash,2,150,2,37,1,6.17,4,0,17,3,11.1,47.2,9,110,5
T20 World Cup,0,169,1,58,0,9.67,4,3,18,5,19.4,50.0,10,167,6
PSL,1,147,2,41,1,6.83,5,1,20,5,16.7,55.6,9,137,5
T20 World Cup,1,174,1,41,4,6.83,4,0,13,3,11.1,36.1,6,112,9
IPL,2,158,2,25,6,4.17,2,0,20,5,5.6,55.6,4,79,10
ILT20,1,160,1,23,4,3.83,2,1,16,4,8.3,44.4,6,55,6
